Algoritmo;Tamaño;Tiempo
TimSort;5690;0.0036760999992111465
Comb Sort;5690;0.025461100000029546
Selection Sort;5690;0.7147261999998591
Tree Sort;5690;0.008428499999354244
QuickSort;5690;0.012130999999499181
HeapSort;5690;0.002672699998583994
Bitonic Sort;5690;0.00171309999859659
Gnome Sort;5690;5.747733700000026
Binary Insertion Sort;5690;0.9056785000011587
Pigeonhole Sort;5690;0.0012139999998908024
BucketSort;5690;0.0018103999991581077
RadixSort;5690;0.015276000000085332
